Date,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
24-02-2009,484.95,499,483.7,493,493.85,492.1,273081,1.34383E+13,260080,0.9524
25-02-2009,487,511.85,487,508,509.95,507.61,119739,6.07812E+12,54742,0.4572
26-02-2009,510,539,510,525,526.05,523.28,80263,4.20003E+12,31154,0.3881
27-02-2009,534.6,538.5,519.95,537,535.05,529.06,66949,3.54198E+12,47020,0.7023
02-03-2009,525.25,535,492.5,497.2,506.2,517.14,107647,5.56689E+12,41306,0.3837
03-03-2009,503.65,503.65,482.2,492.05,486.15,489,104374,5.10392E+12,62849,0.6022
04-03-2009,487,496,481.15,491.55,490.85,490.16,50317,2.46634E+12,26618,0.529
05-03-2009,490.05,509,484,487,487.2,489.21,110801,5.42052E+12,76674,0.692
06-03-2009,485,493,477,487,486.75,487.65,18991,9.26105E+11,8523,0.4488
09-03-2009,494,500,478.05,490.05,494.05,495.59,42927,2.12741E+12,21262,0.4953
12-03-2009,496,520,490.15,518,517.1,508.33,99959,5.08118E+12,68100,0.6813
13-03-2009,540,540,515,523,520.1,523.69,224864,1.17758E+13,201707,0.897
16-03-2009,525,538,513.25,535,535.6,522.45,154980,8.0969E+12,99083,0.6393
17-03-2009,526.1,547,526.1,546.25,542.5,538.8,312892,1.68587E+13,271487,0.8677
18-03-2009,546,584.95,546,578.8,577.6,571.15,147299,8.413E+12,86767,0.5891
19-03-2009,578,583.95,555,556,561.7,566.27,77791,4.40506E+12,38555,0.4956
20-03-2009,550,568,530.05,558,558.2,556.15,159445,8.86752E+12,119703,0.7507
23-03-2009,578,585,561,580.1,579.75,571.24,83945,4.79527E+12,59576,0.7097
24-03-2009,588,607.85,584,586.25,588.55,599.41,93357,5.5959E+12,53245,0.5703
25-03-2009,584.95,628,573,617,615.95,609.56,112348,6.84826E+12,48452,0.4313
26-03-2009,625,636,608.8,620,619.35,622.53,188429,1.17303E+13,128581,0.6824
27-03-2009,613.5,635,613.5,635,624.4,622.53,134160,8.35182E+12,89878,0.6699
30-03-2009,617,636,592.2,620.25,610.4,606.37,120810,7.32559E+12,84175,0.6968
31-03-2009,615.1,640,581,620,618.45,608.73,196371,1.19537E+13,131519,0.6697
01-04-2009,624.35,639.1,617,634,634.4,631.77,67080,4.23794E+12,37931,0.5655
02-04-2009,635,645.1,602.3,645.1,640.75,627.36,338450,2.1233E+13,146927,0.4341
06-04-2009,641,679.5,636,651.05,655.45,661.31,137094,9.0661E+12,73698,0.5376
08-04-2009,632,652,631,636,635.6,638.98,119647,7.64522E+12,82518,0.6897
09-04-2009,643,651.9,602,605,607.15,624.76,161558,1.00935E+13,129897,0.804
13-04-2009,613,628.7,596,601.1,605.55,616.88,145254,8.96037E+12,101655,0.6998
15-04-2009,535,637,535,635,635.25,626.92,362022,2.26959E+13,329617,0.9105
16-04-2009,641.25,665,638,656,658.85,657.44,279996,1.8408E+13,209487,0.7482
17-04-2009,662,676,655.1,664.25,665.45,667.57,120726,8.05926E+12,88819,0.7357
20-04-2009,665,689.8,643.05,648,648.3,672.37,92134,6.19483E+12,53554,0.5813
21-04-2009,645,681,615.55,637.9,632.3,640.74,65834,4.21822E+12,30683,0.4661
22-04-2009,647,661.05,630.15,632,634.4,642.98,71207,4.57849E+12,42957,0.6033
23-04-2009,635,644.7,625.05,633,637.15,637.67,88466,5.64124E+12,74204,0.8388
24-04-2009,645,645,612.5,625,626.35,627.13,59351,3.72207E+12,37215,0.627
27-04-2009,622,641,613,613,615.1,624.48,186087,1.16208E+13,176880,0.9505
28-04-2009,625,630,600,625,624.5,615.86,102580,6.31746E+12,60131,0.5862
29-04-2009,620.1,651,619.9,636.15,641.65,641.59,142522,9.14406E+12,110213,0.7733
04-05-2009,642,679.9,624.4,663.95,662.6,657.1,472170,3.10264E+13,414313,0.8775
05-05-2009,664,695,664,675.15,682.8,684.61,329579,2.25634E+13,229290,0.6957
06-05-2009,670,695,670,685,684.55,686.09,498046,3.41702E+13,466165,0.936
07-05-2009,684.7,706,672.1,685,676.65,693.51,74593,5.1731E+12,44412,0.5954
08-05-2009,694.5,699.9,675.05,682,679.9,687.54,63239,4.34795E+12,38073,0.602
11-05-2009,685,694.5,660,684.9,681,674.97,43461,2.93347E+12,16380,0.3769
12-05-2009,676,695,666.3,685.25,685.45,684.37,131495,8.99911E+12,112257,0.8537
